DATETIME,MAC,RSSI
"2018-03-16 17:17:20.924","F1:4E:55:EA:ED:A4",-55
"2018-03-16 17:17:20.926","D9:86:6F:AF:E8:90",-55
"2018-03-16 17:17:20.944","E8:FA:0D:3C:01:82",-53
"2018-03-16 17:17:20.953","E8:FA:0D:3C:01:82",-53
"2018-03-16 17:17:20.955","C8:2F:80:DA:26:94",-55
"2018-03-16 17:17:20.958","C8:2F:80:DA:26:94",-55
"2018-03-16 17:17:20.959","DC:94:C8:A9:D0:B6",-60
"2018-03-16 17:17:20.970","DC:94:C8:A9:D0:B6",-59
"2018-03-16 17:17:21.203","2A:03:74:4B:5E:76",-63
"2018-03-16 17:17:21.215","C2:57:36:E6:71:6E",-58
"2018-03-16 17:17:21.223","C2:57:36:E6:71:6E",-58
"2018-03-16 17:17:21.225","CB:3C:59:5F:87:FB",-53
"2018-03-16 17:17:21.227","CB:3C:59:5F:87:FB",-53
"2018-03-16 17:17:21.239","E5:3B:3A:53:DF:6C",-54
"2018-03-16 17:17:21.272","E5:3B:3A:53:DF:6C",-54
"2018-03-16 17:17:21.488","4F:90:35:1D:E2:40",-98
"2018-03-16 17:17:21.509","2A:03:74:4B:5E:76",-70
"2018-03-16 17:17:21.523","E9:0D:4A:6D:31:59",-53
"2018-03-16 17:17:21.527","E9:0D:4A:6D:31:59",-53
"2018-03-16 17:17:21.529","C1:96:24:5B:EB:97",-51
"2018-03-16 17:17:21.531","C1:96:24:5B:EB:97",-51
"2018-03-16 17:17:21.533","FD:99:D9:69:5D:BC",-54
"2018-03-16 17:17:21.537","FD:99:D9:69:5D:BC",-53
"2018-03-16 17:17:21.543","F1:4E:55:EA:ED:A4",-54
"2018-03-16 17:17:21.545","F1:4E:55:EA:ED:A4",-54
"2018-03-16 17:17:21.547","EC:8F:47:27:6C:DE",-56
"2018-03-16 17:17:21.551","EC:8F:47:27:6C:DE",-56
"2018-03-16 17:17:21.551","D9:86:6F:AF:E8:90",-55
"2018-03-16 17:17:21.568","D9:86:6F:AF:E8:90",-55
"2018-03-16 17:17:21.572","E8:FA:0D:3C:01:82",-54
"2018-03-16 17:17:21.786","DC:94:C8:A9:D0:B6",-60
"2018-03-16 17:17:21.786","DC:94:C8:A9:D0:B6",-60
"2018-03-16 17:17:21.787","C8:2F:80:DA:26:94",-55
"2018-03-16 17:17:21.788","C8:2F:80:DA:26:94",-55
"2018-03-16 17:17:21.855","F8:77:B8:B9:2D:74",-99
"2018-03-16 17:17:21.859","E5:3B:3A:53:DF:6C",-55
"2018-03-16 17:17:21.862","E5:3B:3A:53:DF:6C",-55
"2018-03-16 17:17:22.389","C8:2F:80:DA:26:94",-55
"2018-03-16 17:17:22.390","C8:2F:80:DA:26:94",-55
"2018-03-16 17:17:22.390","DC:94:C8:A9:D0:B6",-55
"2018-03-16 17:17:22.393","DC:94:C8:A9:D0:B6",-55
"2018-03-16 17:17:22.442","E8:FA:0D:3C:01:82",-52
"2018-03-16 17:17:22.449","E8:FA:0D:3C:01:82",-52
"2018-03-16 17:17:22.454","CB:3C:59:5F:87:FB",-53
"2018-03-16 17:17:22.455","CB:3C:59:5F:87:FB",-53
"2018-03-16 17:17:22.465","E5:3B:3A:53:DF:6C",-54
"2018-03-16 17:17:22.467","E5:3B:3A:53:DF:6C",-54
"2018-03-16 17:17:22.471","F8:77:B8:B9:2D:74",-97
"2018-03-16 17:17:22.672","2A:03:74:4B:5E:76",-72
"2018-03-16 17:17:22.702","C2:57:36:E6:71:6E",-58
"2018-03-16 17:17:22.741","C2:57:36:E6:71:6E",-57
"2018-03-16 17:17:22.742","98:9E:63:42:70:FD",-100
"2018-03-16 17:17:22.744","FD:99:D9:69:5D:BC",-54
"2018-03-16 17:17:22.749","FD:99:D9:69:5D:BC",-54
"2018-03-16 17:17:22.756","C1:96:24:5B:EB:97",-51
"2018-03-16 17:17:22.757","C1:96:24:5B:EB:97",-51
"2018-03-16 17:17:22.759","E9:0D:4A:6D:31:59",-55
"2018-03-16 17:17:22.773","E9:0D:4A:6D:31:59",-55
"2018-03-16 17:17:22.775","F1:4E:55:EA:ED:A4",-54
"2018-03-16 17:17:22.775","F1:4E:55:EA:ED:A4",-54
"2018-03-16 17:17:22.777","EC:8F:47:27:6C:DE",-57
"2018-03-16 17:17:22.989","F1:4E:55:EA:ED:A4",-55
"2018-03-16 17:17:22.994","F1:4E:55:EA:ED:A4",-55
"2018-03-16 17:17:22.997","2A:03:74:4B:5E:76",-54
"2018-03-16 17:17:23.000","C8:2F:80:DA:26:94",-55
"2018-03-16 17:17:23.002","C8:2F:80:DA:26:94",-55
"2018-03-16 17:17:23.005","DC:94:C8:A9:D0:B6",-60
"2018-03-16 17:17:23.027","DC:94:C8:A9:D0:B6",-60
"2018-03-16 17:17:23.029","D9:86:6F:AF:E8:90",-55
"2018-03-16 17:17:23.033","D9:86:6F:AF:E8:90",-55
"2018-03-16 17:17:23.065","E8:FA:0D:3C:01:82",-53
"2018-03-16 17:17:23.071","E8:FA:0D:3C:01:82",-53
"2018-03-16 17:17:23.073","CB:3C:59:5F:87:FB",-53
"2018-03-16 17:17:23.077","CB:3C:59:5F:87:FB",-53
"2018-03-16 17:17:23.288","E8:FA:0D:3C:01:82",-53
"2018-03-16 17:17:23.288","E8:FA:0D:3C:01:82",-53
"2018-03-16 17:17:23.288","E5:3B:3A:53:DF:6C",-54
"2018-03-16 17:17:23.289","E5:3B:3A:53:DF:6C",-54
"2018-03-16 17:17:23.326","C2:57:36:E6:71:6E",-58
"2018-03-16 17:17:23.365","C2:57:36:E6:71:6E",-58
"2018-03-16 17:17:23.366","FD:99:D9:69:5D:BC",-54
"2018-03-16 17:17:23.367","FD:99:D9:69:5D:BC",-54
"2018-03-16 17:17:23.369","C1:96:24:5B:EB:97",-53
"2018-03-16 17:17:23.583","C1:96:24:5B:EB:97",-51
"2018-03-16 17:17:23.613","C1:96:24:5B:EB:97",-51
"2018-03-16 17:17:23.615","C8:2F:80:DA:26:94",-52
"2018-03-16 17:17:23.619","C8:2F:80:DA:26:94",-52
"2018-03-16 17:17:23.621","DC:94:C8:A9:D0:B6",-54
"2018-03-16 17:17:23.629","DC:94:C8:A9:D0:B6",-53
"2018-03-16 17:17:23.631","2A:03:74:4B:5E:76",-67
"2018-03-16 17:17:23.644","D9:86:6F:AF:E8:90",-55
"2018-03-16 17:17:23.653","D9:86:6F:AF:E8:90",-55
"2018-03-16 17:17:23.658","98:9E:63:42:70:FD",-100
"2018-03-16 17:17:23.663","4F:90:35:1D:E2:40",-98
"2018-03-16 17:17:23.895","CB:3C:59:5F:87:FB",-53
"2018-03-16 17:17:23.896","CB:3C:59:5F:87:FB",-53
"2018-03-16 17:17:23.896","E8:FA:0D:3C:01:82",-53
"2018-03-16 17:17:23.898","E8:FA:0D:3C:01:82",-53
"2018-03-16 17:17:23.904","DC:94:C8:A9:D0:B6",-60
"2018-03-16 17:17:23.910","DC:94:C8:A9:D0:B6",-60
"2018-03-16 17:17:23.911","E5:3B:3A:53:DF:6C",-55
"2018-03-16 17:17:23.913","E5:3B:3A:53:DF:6C",-55
"2018-03-16 17:17:23.936","4F:90:35:1D:E2:40",-98
"2018-03-16 17:17:23.941","4F:90:35:1D:E2:40",-100
"2018-03-16 17:17:23.942","C2:57:36:E6:71:6E",-58
"2018-03-16 17:17:23.947","C2:57:36:E6:71:6E",-58
"2018-03-16 17:17:23.950","2A:03:74:4B:5E:76",-55
"2018-03-16 17:17:24.184","E9:0D:4A:6D:31:59",-54
"2018-03-16 17:17:24.186","E9:0D:4A:6D:31:59",-54
"2018-03-16 17:17:24.188","C1:96:24:5B:EB:97",-51
"2018-03-16 17:17:24.192","C1:96:24:5B:EB:97",-51
"2018-03-16 17:17:24.194","FD:99:D9:69:5D:BC",-54
"2018-03-16 17:17:24.197","FD:99:D9:69:5D:BC",-54
"2018-03-16 17:17:24.200","EC:8F:47:27:6C:DE",-56
"2018-03-16 17:17:24.202","EC:8F:47:27:6C:DE",-56
"2018-03-16 17:17:24.205","98:9E:63:42:70:FD",-101
"2018-03-16 17:17:24.212","4F:90:35:1D:E2:40",-100
"2018-03-16 17:17:24.233","4F:90:35:1D:E2:40",-101
"2018-03-16 17:17:24.235","C8:2F:80:DA:26:94",-53
"2018-03-16 17:17:24.237","C8:2F:80:DA:26:94",-52
"2018-03-16 17:17:24.251","F1:4E:55:EA:ED:A4",-54
"2018-03-16 17:17:24.260","F1:4E:55:EA:ED:A4",-54
"2018-03-16 17:17:24.262","D9:86:6F:AF:E8:90",-55
"2018-03-16 17:17:24.265","D9:86:6F:AF:E8:90",-55
"2018-03-16 17:17:24.267","2A:03:74:4B:5E:76",-68
"2018-03-16 17:17:24.500","4F:90:35:1D:E2:40",-99
"2018-03-16 17:17:24.501","CB:3C:59:5F:87:FB",-53
"2018-03-16 17:17:24.510","CB:3C:59:5F:87:FB",-53
"2018-03-16 17:17:24.513","E8:FA:0D:3C:01:82",-53
"2018-03-16 17:17:24.514","E8:FA:0D:3C:01:82",-53
"2018-03-16 17:17:24.516","DC:94:C8:A9:D0:B6",-60
"2018-03-16 17:17:24.524","DC:94:C8:A9:D0:B6",-59
"2018-03-16 17:17:24.526","E5:3B:3A:53:DF:6C",-55
"2018-03-16 17:17:24.528","E5:3B:3A:53:DF:6C",-55
"2018-03-16 17:17:24.561","C2:57:36:E6:71:6E",-58
"2018-03-16 17:17:24.576","C2:57:36:E6:71:6E",-58
"2018-03-16 17:17:24.788","2A:03:74:4B:5E:76",-64
"2018-03-16 17:17:24.789","E9:0D:4A:6D:31:59",-53
"2018-03-16 17:17:24.793","E9:0D:4A:6D:31:59",-53
"2018-03-16 17:17:24.795","F8:77:B8:B9:2D:74",-95
"2018-03-16 17:17:24.797","FD:99:D9:69:5D:BC",-53
"2018-03-16 17:17:24.807","FD:99:D9:69:5D:BC",-53
"2018-03-16 17:17:24.809","EC:8F:47:27:6C:DE",-55
"2018-03-16 17:17:24.810","EC:8F:47:27:6C:DE",-55
"2018-03-16 17:17:24.844","C8:2F:80:DA:26:94",-54
"2018-03-16 17:17:24.859","C8:2F:80:DA:26:94",-54
"2018-03-16 17:17:24.861","F1:4E:55:EA:ED:A4",-53
"2018-03-16 17:17:24.867","F1:4E:55:EA:ED:A4",-53
"2018-03-16 17:17:24.867","D9:86:6F:AF:E8:90",-55
"2018-03-16 17:17:24.873","D9:86:6F:AF:E8:90",-55
"2018-03-16 17:17:25.107","2A:03:74:4B:5E:76",-63
"2018-03-16 17:17:25.117","98:9E:63:42:70:FD",-101
"2018-03-16 17:17:25.126","DC:94:C8:A9:D0:B6",-54
"2018-03-16 17:17:25.131","DC:94:C8:A9:D0:B6",-53
"2018-03-16 17:17:25.132","E8:FA:0D:3C:01:82",-55
"2018-03-16 17:17:25.137","E8:FA:0D:3C:01:82",-54
"2018-03-16 17:17:25.148","E5:3B:3A:53:DF:6C",-53
"2018-03-16 17:17:25.173","E5:3B:3A:53:DF:6C",-53
"2018-03-16 17:17:25.387","CB:3C:59:5F:87:FB",-54
"2018-03-16 17:17:25.393","CB:3C:59:5F:87:FB",-53
"2018-03-16 17:17:25.396","C2:57:36:E6:71:6E",-58
"2018-03-16 17:17:25.400","C2:57:36:E6:71:6E",-58
"2018-03-16 17:17:25.406","E9:0D:4A:6D:31:59",-55
"2018-03-16 17:17:25.414","E9:0D:4A:6D:31:59",-55
"2018-03-16 17:17:25.418","C1:96:24:5B:EB:97",-54
"2018-03-16 17:17:25.418","C1:96:24:5B:EB:97",-54
"2018-03-16 17:17:25.421","F8:77:B8:B9:2D:74",-101
"2018-03-16 17:17:25.423","FD:99:D9:69:5D:BC",-57
"2018-03-16 17:17:25.425","FD:99:D9:69:5D:BC",-56
"2018-03-16 17:17:25.427","EC:8F:47:27:6C:DE",-57
"2018-03-16 17:17:25.430","EC:8F:47:27:6C:DE",-57
"2018-03-16 17:17:25.431","2A:03:74:4B:5E:76",-58
"2018-03-16 17:17:25.472","F1:4E:55:EA:ED:A4",-55
"2018-03-16 17:17:25.476","F1:4E:55:EA:ED:A4",-55
"2018-03-16 17:17:25.687","F1:4E:55:EA:ED:A4",-53
"2018-03-16 17:17:25.688","F1:4E:55:EA:ED:A4",-53
"2018-03-16 17:17:25.688","D9:86:6F:AF:E8:90",-55
"2018-03-16 17:17:25.688","D9:86:6F:AF:E8:90",-55
"2018-03-16 17:17:25.717","F8:77:B8:B9:2D:74",-95
"2018-03-16 17:17:25.719","C8:2F:80:DA:26:94",-54
"2018-03-16 17:17:25.725","C8:2F:80:DA:26:94",-54
"2018-03-16 17:17:25.727","2A:03:74:4B:5E:76",-67
