DATETIME,MAC,RSSI
"2018-03-07 17:09:26.657","C1:96:24:5B:EB:97",-50
"2018-03-07 17:09:26.658","D9:86:6F:AF:E8:90",-54
"2018-03-07 17:09:26.670","D9:86:6F:AF:E8:90",-54
"2018-03-07 17:09:26.671","C2:57:36:E6:71:6E",-55
"2018-03-07 17:09:26.672","C2:57:36:E6:71:6E",-55
"2018-03-07 17:09:26.696","E5:3B:3A:53:DF:6C",-53
"2018-03-07 17:09:26.704","E5:3B:3A:53:DF:6C",-53
"2018-03-07 17:09:26.706","F1:4E:55:EA:ED:A4",-53
"2018-03-07 17:09:26.710","F1:4E:55:EA:ED:A4",-53
"2018-03-07 17:09:26.728","DC:94:C8:A9:D0:B6",-55
"2018-03-07 17:09:26.745","DC:94:C8:A9:D0:B6",-55
"2018-03-07 17:09:26.961","2B:4F:F3:D4:83:8C",-70
"2018-03-07 17:09:26.962","C8:2F:80:DA:26:94",-53
"2018-03-07 17:09:26.973","C8:2F:80:DA:26:94",-53
"2018-03-07 17:09:26.975","EC:8F:47:27:6C:DE",-55
"2018-03-07 17:09:26.978","EC:8F:47:27:6C:DE",-55
"2018-03-07 17:09:26.997","F8:77:B8:B9:2D:74",-97
"2018-03-07 17:09:26.999","CB:3C:59:5F:87:FB",-53
"2018-03-07 17:09:27.013","CB:3C:59:5F:87:FB",-53
"2018-03-07 17:09:27.017","E9:0D:4A:6D:31:59",-55
"2018-03-07 17:09:27.018","E9:0D:4A:6D:31:59",-55
"2018-03-07 17:09:27.043","FD:99:D9:69:5D:BC",-53
"2018-03-07 17:09:27.047","FD:99:D9:69:5D:BC",-53
"2018-03-07 17:09:27.266","68:64:4B:39:4B:0F",-96
"2018-03-07 17:09:27.267","C1:96:24:5B:EB:97",-50
"2018-03-07 17:09:27.267","C1:96:24:5B:EB:97",-50
"2018-03-07 17:09:27.267","2B:4F:F3:D4:83:8C",-60
"2018-03-07 17:09:27.270","D9:86:6F:AF:E8:90",-55
"2018-03-07 17:09:27.315","D9:86:6F:AF:E8:90",-55
"2018-03-07 17:09:27.319","F8:77:B8:B9:2D:74",-92
"2018-03-07 17:09:27.321","E5:3B:3A:53:DF:6C",-54
"2018-03-07 17:09:27.323","E5:3B:3A:53:DF:6C",-54
"2018-03-07 17:09:27.324","F1:4E:55:EA:ED:A4",-56
"2018-03-07 17:09:27.339","F1:4E:55:EA:ED:A4",-55
"2018-03-07 17:09:27.340","DC:94:C8:A9:D0:B6",-56
"2018-03-07 17:09:27.340","DC:94:C8:A9:D0:B6",-56
"2018-03-07 17:09:27.580","C8:2F:80:DA:26:94",-55
"2018-03-07 17:09:27.580","C8:2F:80:DA:26:94",-55
