DATETIME,MAC,RSSI
"2018-03-16 17:24:49.412","E8:FA:0D:3C:01:82",-58
"2018-03-16 17:24:49.413","C8:2F:80:DA:26:94",-56
"2018-03-16 17:24:49.418","C8:2F:80:DA:26:94",-56
"2018-03-16 17:24:49.424","6A:0B:A0:6F:4B:5E",-93
"2018-03-16 17:24:49.439","6A:0B:A0:6F:4B:5E",-94
"2018-03-16 17:24:49.443","2A:03:74:4B:5E:76",-65
"2018-03-16 17:24:49.445","DC:94:C8:A9:D0:B6",-56
"2018-03-16 17:24:49.461","DC:94:C8:A9:D0:B6",-56
"2018-03-16 17:24:49.463","CB:3C:59:5F:87:FB",-57
"2018-03-16 17:24:49.467","CB:3C:59:5F:87:FB",-57
"2018-03-16 17:24:49.476","C2:57:36:E6:71:6E",-63
"2018-03-16 17:24:49.480","C2:57:36:E6:71:6E",-63
"2018-03-16 17:24:49.689","C2:57:36:E6:71:6E",-63
"2018-03-16 17:24:49.714","C2:57:36:E6:71:6E",-63
"2018-03-16 17:24:49.716","E9:0D:4A:6D:31:59",-57
"2018-03-16 17:24:49.718","E9:0D:4A:6D:31:59",-57
"2018-03-16 17:24:49.720","FD:99:D9:69:5D:BC",-60
"2018-03-16 17:24:49.720","FD:99:D9:69:5D:BC",-60
"2018-03-16 17:24:49.724","C1:96:24:5B:EB:97",-58
"2018-03-16 17:24:49.726","C1:96:24:5B:EB:97",-58
"2018-03-16 17:24:49.729","EC:8F:47:27:6C:DE",-59
"2018-03-16 17:24:49.754","EC:8F:47:27:6C:DE",-59
"2018-03-16 17:24:49.759","61:B8:47:F5:59:8C",-98
"2018-03-16 17:24:49.761","61:B8:47:F5:59:8C",-101
"2018-03-16 17:24:49.763","F1:4E:55:EA:ED:A4",-58
"2018-03-16 17:24:49.765","F1:4E:55:EA:ED:A4",-58
"2018-03-16 17:24:49.767","2A:03:74:4B:5E:76",-55
"2018-03-16 17:24:50.000","D9:86:6F:AF:E8:90",-59
"2018-03-16 17:24:50.013","D9:86:6F:AF:E8:90",-59
"2018-03-16 17:24:50.015","E8:FA:0D:3C:01:82",-60
"2018-03-16 17:24:50.019","E8:FA:0D:3C:01:82",-60
"2018-03-16 17:24:50.021","C8:2F:80:DA:26:94",-58
"2018-03-16 17:24:50.039","C8:2F:80:DA:26:94",-58
"2018-03-16 17:24:50.042","F8:77:B8:B9:2D:74",-98
"2018-03-16 17:24:50.060","DC:94:C8:A9:D0:B6",-60
"2018-03-16 17:24:50.071","DC:94:C8:A9:D0:B6",-60
"2018-03-16 17:24:50.072","2A:03:74:4B:5E:76",-61
"2018-03-16 17:24:50.284","E5:3B:3A:53:DF:6C",-55
"2018-03-16 17:24:50.292","E5:3B:3A:53:DF:6C",-54
"2018-03-16 17:24:50.294","CB:3C:59:5F:87:FB",-57
"2018-03-16 17:24:50.296","CB:3C:59:5F:87:FB",-57
"2018-03-16 17:24:50.302","C2:57:36:E6:71:6E",-63
"2018-03-16 17:24:50.304","C2:57:36:E6:71:6E",-63
"2018-03-16 17:24:50.318","50:33:C6:12:8F:54",-93
"2018-03-16 17:24:50.322","FD:99:D9:69:5D:BC",-59
"2018-03-16 17:24:50.331","FD:99:D9:69:5D:BC",-59
"2018-03-16 17:24:50.332","E9:0D:4A:6D:31:59",-58
"2018-03-16 17:24:50.338","E9:0D:4A:6D:31:59",-58
"2018-03-16 17:24:50.340","C1:96:24:5B:EB:97",-54
"2018-03-16 17:24:50.342","C1:96:24:5B:EB:97",-54
"2018-03-16 17:24:50.344","EC:8F:47:27:6C:DE",-62
"2018-03-16 17:24:50.348","EC:8F:47:27:6C:DE",-61
"2018-03-16 17:24:50.354","63:C7:A6:46:ED:E1",-103
"2018-03-16 17:24:50.362","98:9E:63:42:70:FD",-103
"2018-03-16 17:24:50.581","F1:4E:55:EA:ED:A4",-58
"2018-03-16 17:24:50.582","2A:03:74:4B:5E:76",-56
"2018-03-16 17:24:50.614","D9:86:6F:AF:E8:90",-60
"2018-03-16 17:24:50.628","D9:86:6F:AF:E8:90",-60
"2018-03-16 17:24:50.630","E8:FA:0D:3C:01:82",-59
"2018-03-16 17:24:50.634","E8:FA:0D:3C:01:82",-59
"2018-03-16 17:24:50.636","C8:2F:80:DA:26:94",-58
"2018-03-16 17:24:50.671","C8:2F:80:DA:26:94",-58
"2018-03-16 17:24:50.673","61:B8:47:F5:59:8C",-101
"2018-03-16 17:24:50.893","E5:3B:3A:53:DF:6C",-55
"2018-03-16 17:24:50.907","E5:3B:3A:53:DF:6C",-56
"2018-03-16 17:24:50.908","2A:03:74:4B:5E:76",-60
"2018-03-16 17:24:50.908","C2:57:36:E6:71:6E",-63
"2018-03-16 17:24:50.941","C2:57:36:E6:71:6E",-63
"2018-03-16 17:24:50.943","E9:0D:4A:6D:31:59",-58
"2018-03-16 17:24:50.945","E9:0D:4A:6D:31:59",-58
"2018-03-16 17:24:50.953","EC:8F:47:27:6C:DE",-60
"2018-03-16 17:24:50.991","EC:8F:47:27:6C:DE",-60
"2018-03-16 17:24:50.993","F1:4E:55:EA:ED:A4",-58
"2018-03-16 17:24:50.997","F1:4E:55:EA:ED:A4",-58
"2018-03-16 17:24:51.000","C1:96:24:5B:EB:97",-54
"2018-03-16 17:24:51.006","C1:96:24:5B:EB:97",-54
"2018-03-16 17:24:51.008","E9:0D:4A:6D:31:59",-59
"2018-03-16 17:24:51.012","E9:0D:4A:6D:31:59",-58
"2018-03-16 17:24:51.014","2A:03:74:4B:5E:76",-70
"2018-03-16 17:24:51.016","EC:8F:47:27:6C:DE",-60
"2018-03-16 17:24:51.019","EC:8F:47:27:6C:DE",-60
"2018-03-16 17:24:51.217","EC:8F:47:27:6C:DE",-59
"2018-03-16 17:24:51.223","EC:8F:47:27:6C:DE",-59
"2018-03-16 17:24:51.227","61:B8:47:F5:59:8C",-99
"2018-03-16 17:24:51.230","D9:86:6F:AF:E8:90",-60
"2018-03-16 17:24:51.244","D9:86:6F:AF:E8:90",-60
"2018-03-16 17:24:51.248","E8:FA:0D:3C:01:82",-58
"2018-03-16 17:24:51.248","E8:FA:0D:3C:01:82",-58
"2018-03-16 17:24:51.250","C8:2F:80:DA:26:94",-59
"2018-03-16 17:24:51.271","C8:2F:80:DA:26:94",-58
"2018-03-16 17:24:51.275","98:9E:63:42:70:FD",-101
"2018-03-16 17:24:51.292","DC:94:C8:A9:D0:B6",-61
"2018-03-16 17:24:51.303","DC:94:C8:A9:D0:B6",-61
"2018-03-16 17:24:51.304","E5:3B:3A:53:DF:6C",-58
"2018-03-16 17:24:51.308","E5:3B:3A:53:DF:6C",-58
"2018-03-16 17:24:51.312","56:DC:3A:EC:18:D0",-103
