DATETIME,MAC,RSSI
"2018-03-07 17:02:19.607","F1:4E:55:EA:ED:A4",-55
"2018-03-07 17:02:19.608","C8:2F:80:DA:26:94",-56
"2018-03-07 17:02:19.608","C8:2F:80:DA:26:94",-56
"2018-03-07 17:02:20.198","C2:57:36:E6:71:6E",-54
"2018-03-07 17:02:20.199","C2:57:36:E6:71:6E",-54
"2018-03-07 17:02:20.199","1F:9C:A1:B9:1A:73",-56
"2018-03-07 17:02:20.199","F1:4E:55:EA:ED:A4",-55
"2018-03-07 17:02:20.200","F1:4E:55:EA:ED:A4",-55
"2018-03-07 17:02:20.202","E5:3B:3A:53:DF:6C",-55
"2018-03-07 17:02:20.206","E5:3B:3A:53:DF:6C",-55
"2018-03-07 17:02:20.209","C8:2F:80:DA:26:94",-56
"2018-03-07 17:02:20.241","C8:2F:80:DA:26:94",-56
"2018-03-07 17:02:20.243","DC:94:C8:A9:D0:B6",-58
"2018-03-07 17:02:20.247","DC:94:C8:A9:D0:B6",-58
"2018-03-07 17:02:20.480","F8:77:B8:B9:2D:74",-98
"2018-03-07 17:02:20.483","EC:8F:47:27:6C:DE",-56
"2018-03-07 17:02:20.495","EC:8F:47:27:6C:DE",-56
"2018-03-07 17:02:20.498","CB:3C:59:5F:87:FB",-54
"2018-03-07 17:02:20.502","CB:3C:59:5F:87:FB",-54
"2018-03-07 17:02:20.504","1F:9C:A1:B9:1A:73",-70
"2018-03-07 17:02:20.506","E9:0D:4A:6D:31:59",-55
"2018-03-07 17:02:20.529","E9:0D:4A:6D:31:59",-55
"2018-03-07 17:02:20.531","C1:96:24:5B:EB:97",-51
"2018-03-07 17:02:20.532","C1:96:24:5B:EB:97",-51
"2018-03-07 17:02:20.755","E8:FA:0D:3C:01:82",-55
"2018-03-07 17:02:20.762","E8:FA:0D:3C:01:82",-55
"2018-03-07 17:02:20.764","D9:86:6F:AF:E8:90",-56
"2018-03-07 17:02:20.768","D9:86:6F:AF:E8:90",-56
"2018-03-07 17:02:20.773","F8:77:B8:B9:2D:74",-93
"2018-03-07 17:02:20.801","C2:57:36:E6:71:6E",-55
"2018-03-07 17:02:20.806","C2:57:36:E6:71:6E",-55
"2018-03-07 17:02:20.808","E5:3B:3A:53:DF:6C",-56
"2018-03-07 17:02:20.812","E5:3B:3A:53:DF:6C",-56
"2018-03-07 17:02:20.814","1F:9C:A1:B9:1A:73",-55
"2018-03-07 17:02:20.825","C8:2F:80:DA:26:94",-56
"2018-03-07 17:02:20.851","C8:2F:80:DA:26:94",-56
"2018-03-07 17:02:21.062","DC:94:C8:A9:D0:B6",-58
"2018-03-07 17:02:21.098","DC:94:C8:A9:D0:B6",-58
"2018-03-07 17:02:21.102","EC:8F:47:27:6C:DE",-54
"2018-03-07 17:02:21.107","EC:8F:47:27:6C:DE",-54
"2018-03-07 17:02:21.118","CB:3C:59:5F:87:FB",-53
"2018-03-07 17:02:21.130","CB:3C:59:5F:87:FB",-53
"2018-03-07 17:02:21.132","1F:9C:A1:B9:1A:73",-57
"2018-03-07 17:02:21.146","C1:96:24:5B:EB:97",-50
"2018-03-07 17:02:21.159","C1:96:24:5B:EB:97",-50
"2018-03-07 17:02:21.362","C1:96:24:5B:EB:97",-51
"2018-03-07 17:02:21.380","C1:96:24:5B:EB:97",-51
"2018-03-07 17:02:21.382","E8:FA:0D:3C:01:82",-55
"2018-03-07 17:02:21.384","E8:FA:0D:3C:01:82",-55
"2018-03-07 17:02:21.386","D9:86:6F:AF:E8:90",-58
"2018-03-07 17:02:21.389","D9:86:6F:AF:E8:90",-58
"2018-03-07 17:02:21.391","F8:77:B8:B9:2D:74",-97
"2018-03-07 17:02:21.396","FD:99:D9:69:5D:BC",-55
"2018-03-07 17:02:21.402","FD:99:D9:69:5D:BC",-55
"2018-03-07 17:02:21.404","E9:0D:4A:6D:31:59",-55
"2018-03-07 17:02:21.406","E9:0D:4A:6D:31:59",-55
"2018-03-07 17:02:21.416","68:64:4B:39:4B:0F",-100
"2018-03-07 17:02:21.422","F1:4E:55:EA:ED:A4",-55
"2018-03-07 17:02:21.427","F1:4E:55:EA:ED:A4",-55
"2018-03-07 17:02:21.428","C2:57:36:E6:71:6E",-58
"2018-03-07 17:02:21.430","C2:57:36:E6:71:6E",-58
"2018-03-07 17:02:21.432","E5:3B:3A:53:DF:6C",-58
"2018-03-07 17:02:21.446","E5:3B:3A:53:DF:6C",-58
"2018-03-07 17:02:21.450","1F:9C:A1:B9:1A:73",-68
"2018-03-07 17:02:21.650","1F:9C:A1:B9:1A:73",-55
"2018-03-07 17:02:21.660","C8:2F:80:DA:26:94",-56
"2018-03-07 17:02:21.678","C8:2F:80:DA:26:94",-56
"2018-03-07 17:02:21.679","DC:94:C8:A9:D0:B6",-56
"2018-03-07 17:02:21.681","DC:94:C8:A9:D0:B6",-56
"2018-03-07 17:02:21.687","C2:57:36:E6:71:6E",-55
"2018-03-07 17:02:21.717","C2:57:36:E6:71:6E",-55
"2018-03-07 17:02:21.719","EC:8F:47:27:6C:DE",-56
"2018-03-07 17:02:21.721","EC:8F:47:27:6C:DE",-56
"2018-03-07 17:02:21.725","61:BD:B8:45:93:20",-101
"2018-03-07 17:02:21.731","CB:3C:59:5F:87:FB",-55
"2018-03-07 17:02:21.750","CB:3C:59:5F:87:FB",-55
"2018-03-07 17:02:21.983","1F:9C:A1:B9:1A:73",-57
"2018-03-07 17:02:21.983","C1:96:24:5B:EB:97",-50
"2018-03-07 17:02:21.996","C1:96:24:5B:EB:97",-50
"2018-03-07 17:02:21.998","D9:86:6F:AF:E8:90",-53
"2018-03-07 17:02:22.001","D9:86:6F:AF:E8:90",-53
"2018-03-07 17:02:22.007","E8:FA:0D:3C:01:82",-55
"2018-03-07 17:02:22.009","E8:FA:0D:3C:01:82",-55
"2018-03-07 17:02:22.014","FD:99:D9:69:5D:BC",-53
"2018-03-07 17:02:22.014","FD:99:D9:69:5D:BC",-53
"2018-03-07 17:02:22.019","E9:0D:4A:6D:31:59",-54
"2018-03-07 17:02:22.044","E9:0D:4A:6D:31:59",-54
"2018-03-07 17:02:22.048","E5:3B:3A:53:DF:6C",-55
"2018-03-07 17:02:22.049","E5:3B:3A:53:DF:6C",-55
"2018-03-07 17:02:22.281","E8:FA:0D:3C:01:82",-55
"2018-03-07 17:02:22.281","1F:9C:A1:B9:1A:73",-70
"2018-03-07 17:02:22.288","DC:94:C8:A9:D0:B6",-57
"2018-03-07 17:02:22.298","DC:94:C8:A9:D0:B6",-57
"2018-03-07 17:02:22.303","C2:57:36:E6:71:6E",-58
"2018-03-07 17:02:22.308","C2:57:36:E6:71:6E",-58
"2018-03-07 17:02:22.312","E5:3B:3A:53:DF:6C",-58
"2018-03-07 17:02:22.312","E5:3B:3A:53:DF:6C",-58
"2018-03-07 17:02:22.314","F1:4E:55:EA:ED:A4",-55
"2018-03-07 17:02:22.316","F1:4E:55:EA:ED:A4",-55
"2018-03-07 17:02:22.324","F8:77:B8:B9:2D:74",-98
"2018-03-07 17:02:22.329","68:64:4B:39:4B:0F",-100
"2018-03-07 17:02:22.333","EC:8F:47:27:6C:DE",-56
"2018-03-07 17:02:22.347","EC:8F:47:27:6C:DE",-56
"2018-03-07 17:02:22.347","CB:3C:59:5F:87:FB",-54
"2018-03-07 17:02:22.348","CB:3C:59:5F:87:FB",-54
"2018-03-07 17:02:22.601","1F:9C:A1:B9:1A:73",-54
"2018-03-07 17:02:22.608","D9:86:6F:AF:E8:90",-56
"2018-03-07 17:02:22.622","D9:86:6F:AF:E8:90",-56
"2018-03-07 17:02:22.624","FD:99:D9:69:5D:BC",-56
"2018-03-07 17:02:22.626","FD:99:D9:69:5D:BC",-56
"2018-03-07 17:02:22.638","E9:0D:4A:6D:31:59",-56
"2018-03-07 17:02:22.640","E9:0D:4A:6D:31:59",-56
"2018-03-07 17:02:22.642","78:4F:43:78:44:5D",-101
