DATETIME,MAC,RSSI
"2018-03-16 16:49:57.377","F1:4E:55:EA:ED:A4",-65
"2018-03-16 16:49:57.383","F1:4E:55:EA:ED:A4",-65
"2018-03-16 16:49:57.384","E5:3B:3A:53:DF:6C",-61
"2018-03-16 16:49:57.386","E5:3B:3A:53:DF:6C",-61
"2018-03-16 16:49:57.396","C1:96:24:5B:EB:97",-63
"2018-03-16 16:49:57.633","D9:86:6F:AF:E8:90",-58
"2018-03-16 16:49:57.634","D9:86:6F:AF:E8:90",-58
"2018-03-16 16:49:57.634","C8:2F:80:DA:26:94",-62
"2018-03-16 16:49:57.636","C8:2F:80:DA:26:94",-62
"2018-03-16 16:49:57.646","0B:08:73:E6:B1:67",-64
"2018-03-16 16:49:57.650","FD:99:D9:69:5D:BC",-62
"2018-03-16 16:49:57.669","FD:99:D9:69:5D:BC",-62
"2018-03-16 16:49:57.673","6A:8D:B7:88:D6:A0",-75
"2018-03-16 16:49:57.679","6A:8D:B7:88:D6:A0",-74
"2018-03-16 16:49:57.681","DC:94:C8:A9:D0:B6",-62
"2018-03-16 16:49:57.683","DC:94:C8:A9:D0:B6",-63
"2018-03-16 16:49:57.687","E8:FA:0D:3C:01:82",-60
"2018-03-16 16:49:57.691","E8:FA:0D:3C:01:82",-60
"2018-03-16 16:49:57.693","75:33:23:D6:E1:5E",-101
"2018-03-16 16:49:57.695","EC:8F:47:27:6C:DE",-61
"2018-03-16 16:49:57.700","EC:8F:47:27:6C:DE",-61
"2018-03-16 16:49:57.700","F8:77:B8:B9:2D:74",-103
"2018-03-16 16:49:57.930","CB:3C:59:5F:87:FB",-56
"2018-03-16 16:49:57.933","CB:3C:59:5F:87:FB",-56
"2018-03-16 16:49:57.934","E8:FA:0D:3C:01:82",-60
"2018-03-16 16:49:57.937","E8:FA:0D:3C:01:82",-60
"2018-03-16 16:49:57.939","6A:8D:B7:88:D6:A0",-83
"2018-03-16 16:49:57.966","6A:8D:B7:88:D6:A0",-83
"2018-03-16 16:49:57.968","0B:08:73:E6:B1:67",-63
"2018-03-16 16:49:57.983","C2:57:36:E6:71:6E",-62
"2018-03-16 16:49:57.994","C2:57:36:E6:71:6E",-62
"2018-03-16 16:49:57.995","F1:4E:55:EA:ED:A4",-60
"2018-03-16 16:49:57.996","F1:4E:55:EA:ED:A4",-60
"2018-03-16 16:49:58.000","E5:3B:3A:53:DF:6C",-57
"2018-03-16 16:49:58.007","E5:3B:3A:53:DF:6C",-57
"2018-03-16 16:49:58.008","E9:0D:4A:6D:31:59",-58
"2018-03-16 16:49:58.016","E9:0D:4A:6D:31:59",-58
"2018-03-16 16:49:58.018","C1:96:24:5B:EB:97",-55
"2018-03-16 16:49:58.019","C1:96:24:5B:EB:97",-55
"2018-03-16 16:49:58.233","C1:96:24:5B:EB:97",-63
"2018-03-16 16:49:58.234","C1:96:24:5B:EB:97",-63
"2018-03-16 16:49:58.235","D9:86:6F:AF:E8:90",-59
"2018-03-16 16:49:58.237","D9:86:6F:AF:E8:90",-59
"2018-03-16 16:49:58.239","5F:17:B5:B3:51:A4",-102
"2018-03-16 16:49:58.243","C8:2F:80:DA:26:94",-68
"2018-03-16 16:49:58.257","C8:2F:80:DA:26:94",-68
"2018-03-16 16:49:58.259","78:4F:43:78:44:5D",-101
"2018-03-16 16:49:58.267","FD:99:D9:69:5D:BC",-61
"2018-03-16 16:49:58.275","FD:99:D9:69:5D:BC",-61
"2018-03-16 16:49:58.277","5F:17:B5:B3:51:A4",-102
"2018-03-16 16:49:58.282","0B:08:73:E6:B1:67",-57
"2018-03-16 16:49:58.294","DC:94:C8:A9:D0:B6",-72
"2018-03-16 16:49:58.300","DC:94:C8:A9:D0:B6",-71
"2018-03-16 16:49:58.305","EC:8F:47:27:6C:DE",-61
"2018-03-16 16:49:58.308","EC:8F:47:27:6C:DE",-61
"2018-03-16 16:49:58.542","CB:3C:59:5F:87:FB",-56
"2018-03-16 16:49:58.556","CB:3C:59:5F:87:FB",-56
"2018-03-16 16:49:58.558","E8:FA:0D:3C:01:82",-60
"2018-03-16 16:49:58.560","E8:FA:0D:3C:01:82",-60
"2018-03-16 16:49:58.583","3C:15:C2:C7:F7:27",-101
"2018-03-16 16:49:58.589","68:64:4B:39:4B:0F",-103
"2018-03-16 16:49:58.592","C2:57:36:E6:71:6E",-66
"2018-03-16 16:49:58.600","C2:57:36:E6:71:6E",-67
"2018-03-16 16:49:58.602","0B:08:73:E6:B1:67",-64
"2018-03-16 16:49:58.608","F1:4E:55:EA:ED:A4",-61
"2018-03-16 16:49:58.615","F1:4E:55:EA:ED:A4",-61
"2018-03-16 16:49:58.617","E5:3B:3A:53:DF:6C",-58
"2018-03-16 16:49:58.826","E5:3B:3A:53:DF:6C",-57
"2018-03-16 16:49:58.830","E5:3B:3A:53:DF:6C",-57
"2018-03-16 16:49:58.831","E9:0D:4A:6D:31:59",-58
"2018-03-16 16:49:58.831","E9:0D:4A:6D:31:59",-58
"2018-03-16 16:49:58.833","C1:96:24:5B:EB:97",-55
"2018-03-16 16:49:58.865","C1:96:24:5B:EB:97",-55
"2018-03-16 16:49:58.867","4C:7F:F4:3A:E6:B1",-101
"2018-03-16 16:49:58.870","C8:2F:80:DA:26:94",-57
"2018-03-16 16:49:58.893","C8:2F:80:DA:26:94",-57
"2018-03-16 16:49:58.894","FD:99:D9:69:5D:BC",-58
"2018-03-16 16:49:58.894","FD:99:D9:69:5D:BC",-58
"2018-03-16 16:49:58.899","D9:86:6F:AF:E8:90",-59
"2018-03-16 16:49:58.909","D9:86:6F:AF:E8:90",-59
"2018-03-16 16:49:58.911","DC:94:C8:A9:D0:B6",-60
"2018-03-16 16:49:58.915","DC:94:C8:A9:D0:B6",-60
"2018-03-16 16:49:59.130","0B:08:73:E6:B1:67",-54
"2018-03-16 16:49:59.130","EC:8F:47:27:6C:DE",-61
"2018-03-16 16:49:59.154","EC:8F:47:27:6C:DE",-61
"2018-03-16 16:49:59.156","CB:3C:59:5F:87:FB",-58
"2018-03-16 16:49:59.158","CB:3C:59:5F:87:FB",-58
"2018-03-16 16:49:59.166","E8:FA:0D:3C:01:82",-62
"2018-03-16 16:49:59.207","E8:FA:0D:3C:01:82",-62
"2018-03-16 16:49:59.208","C2:57:36:E6:71:6E",-65
"2018-03-16 16:49:59.210","C2:57:36:E6:71:6E",-65
"2018-03-16 16:49:59.442","F1:4E:55:EA:ED:A4",-62
"2018-03-16 16:49:59.443","F1:4E:55:EA:ED:A4",-62
"2018-03-16 16:49:59.443","E5:3B:3A:53:DF:6C",-58
"2018-03-16 16:49:59.444","E5:3B:3A:53:DF:6C",-58
"2018-03-16 16:49:59.444","E9:0D:4A:6D:31:59",-57
"2018-03-16 16:49:59.445","E9:0D:4A:6D:31:59",-57
"2018-03-16 16:49:59.446","0B:08:73:E6:B1:67",-63
"2018-03-16 16:49:59.448","C1:96:24:5B:EB:97",-60
"2018-03-16 16:49:59.481","C1:96:24:5B:EB:97",-60
"2018-03-16 16:49:59.486","C8:2F:80:DA:26:94",-61
"2018-03-16 16:49:59.487","C8:2F:80:DA:26:94",-61
"2018-03-16 16:49:59.499","F1:4E:55:EA:ED:A4",-61
"2018-03-16 16:49:59.512","F1:4E:55:EA:ED:A4",-61
"2018-03-16 16:49:59.514","FD:99:D9:69:5D:BC",-62
"2018-03-16 16:49:59.518","FD:99:D9:69:5D:BC",-62
"2018-03-16 16:49:59.520","D9:86:6F:AF:E8:90",-58
"2018-03-16 16:49:59.522","D9:86:6F:AF:E8:90",-58
"2018-03-16 16:49:59.717","D9:86:6F:AF:E8:90",-59
"2018-03-16 16:49:59.734","D9:86:6F:AF:E8:90",-58
"2018-03-16 16:49:59.735","EC:8F:47:27:6C:DE",-59
"2018-03-16 16:49:59.737","EC:8F:47:27:6C:DE",-59
"2018-03-16 16:49:59.757","0B:08:73:E6:B1:67",-63
"2018-03-16 16:49:59.770","CB:3C:59:5F:87:FB",-56
"2018-03-16 16:49:59.780","CB:3C:59:5F:87:FB",-55
"2018-03-16 16:49:59.783","4C:7F:F4:3A:E6:B1",-101
"2018-03-16 16:49:59.785","E8:FA:0D:3C:01:82",-60
"2018-03-16 16:49:59.798","E8:FA:0D:3C:01:82",-60
"2018-03-16 16:49:59.802","DC:94:C8:A9:D0:B6",-60
"2018-03-16 16:49:59.802","DC:94:C8:A9:D0:B6",-60
"2018-03-16 16:50:00.039","C2:57:36:E6:71:6E",-65
"2018-03-16 16:50:00.052","C2:57:36:E6:71:6E",-65
"2018-03-16 16:50:00.056","E9:0D:4A:6D:31:59",-60
"2018-03-16 16:50:00.057","E9:0D:4A:6D:31:59",-60
"2018-03-16 16:50:00.060","E5:3B:3A:53:DF:6C",-60
"2018-03-16 16:50:00.062","E5:3B:3A:53:DF:6C",-60
"2018-03-16 16:50:00.064","C1:96:24:5B:EB:97",-64
"2018-03-16 16:50:00.070","C1:96:24:5B:EB:97",-63
"2018-03-16 16:50:00.071","5F:17:B5:B3:51:A4",-103
"2018-03-16 16:50:00.098","C8:2F:80:DA:26:94",-68
"2018-03-16 16:50:00.106","C8:2F:80:DA:26:94",-68
"2018-03-16 16:50:00.108","6A:8D:B7:88:D6:A0",-76
"2018-03-16 16:50:00.110","6A:8D:B7:88:D6:A0",-77
"2018-03-16 16:50:00.325","F1:4E:55:EA:ED:A4",-61
"2018-03-16 16:50:00.331","F1:4E:55:EA:ED:A4",-61
"2018-03-16 16:50:00.332","FD:99:D9:69:5D:BC",-62
"2018-03-16 16:50:00.334","FD:99:D9:69:5D:BC",-62
"2018-03-16 16:50:00.337","D9:86:6F:AF:E8:90",-58
"2018-03-16 16:50:00.349","D9:86:6F:AF:E8:90",-58
"2018-03-16 16:50:00.351","EC:8F:47:27:6C:DE",-60
"2018-03-16 16:50:00.355","EC:8F:47:27:6C:DE",-61
"2018-03-16 16:50:00.378","6A:8D:B7:88:D6:A0",-81
"2018-03-16 16:50:00.386","6A:8D:B7:88:D6:A0",-80
"2018-03-16 16:50:00.391","CB:3C:59:5F:87:FB",-56
"2018-03-16 16:50:00.391","CB:3C:59:5F:87:FB",-56
"2018-03-16 16:50:00.408","DC:94:C8:A9:D0:B6",-62
"2018-03-16 16:50:00.416","DC:94:C8:A9:D0:B6",-62
"2018-03-16 16:50:00.934","0B:08:73:E6:B1:67",-65
"2018-03-16 16:50:00.935","6A:8D:B7:88:D6:A0",-83
"2018-03-16 16:50:00.935","6A:8D:B7:88:D6:A0",-84
"2018-03-16 16:50:00.935","F1:4E:55:EA:ED:A4",-61
"2018-03-16 16:50:00.940","FD:99:D9:69:5D:BC",-58
"2018-03-16 16:50:00.946","FD:99:D9:69:5D:BC",-58
"2018-03-16 16:50:00.949","D9:86:6F:AF:E8:90",-59
"2018-03-16 16:50:00.953","D9:86:6F:AF:E8:90",-59
"2018-03-16 16:50:00.959","EC:8F:47:27:6C:DE",-59
"2018-03-16 16:50:00.969","EC:8F:47:27:6C:DE",-59
"2018-03-16 16:50:00.973","68:64:4B:39:4B:0F",-101
"2018-03-16 16:50:00.974","3C:15:C2:C7:F7:27",-98
"2018-03-16 16:50:00.984","3C:15:C2:C7:F7:27",-98
"2018-03-16 16:50:00.985","C8:2F:80:DA:26:94",-57
"2018-03-16 16:50:00.986","C8:2F:80:DA:26:94",-57
"2018-03-16 16:50:01.534","68:64:4B:39:4B:0F",-102
"2018-03-16 16:50:01.834","DC:94:C8:A9:D0:B6",-62
"2018-03-16 16:50:01.858","DC:94:C8:A9:D0:B6",-62
"2018-03-16 16:50:01.862","0B:08:73:E6:B1:67",-65
"2018-03-16 16:50:01.868","C2:57:36:E6:71:6E",-67
"2018-03-16 16:50:01.887","C2:57:36:E6:71:6E",-67
"2018-03-16 16:50:01.891","75:33:23:D6:E1:5E",-103
"2018-03-16 16:50:01.894","E9:0D:4A:6D:31:59",-57
"2018-03-16 16:50:01.916","78:4F:43:78:44:5D",-103
"2018-03-16 16:50:01.917","C1:96:24:5B:EB:97",-60
"2018-03-16 16:50:01.933","C1:96:24:5B:EB:97",-60
"2018-03-16 16:50:01.934","E5:3B:3A:53:DF:6C",-58
"2018-03-16 16:50:01.936","E5:3B:3A:53:DF:6C",-58
"2018-03-16 16:50:02.149","E5:3B:3A:53:DF:6C",-57
"2018-03-16 16:50:02.149","E5:3B:3A:53:DF:6C",-57
"2018-03-16 16:50:02.150","F1:4E:55:EA:ED:A4",-61
"2018-03-16 16:50:02.150","F1:4E:55:EA:ED:A4",-60
"2018-03-16 16:50:02.162","4C:7F:F4:3A:E6:B1",-101
"2018-03-16 16:50:02.170","FD:99:D9:69:5D:BC",-58
"2018-03-16 16:50:02.174","FD:99:D9:69:5D:BC",-58
"2018-03-16 16:50:02.179","D9:86:6F:AF:E8:90",-59
"2018-03-16 16:50:02.180","D9:86:6F:AF:E8:90",-59
"2018-03-16 16:50:02.183","C1:96:24:5B:EB:97",-55
"2018-03-16 16:50:02.189","C1:96:24:5B:EB:97",-55
"2018-03-16 16:50:02.190","EC:8F:47:27:6C:DE",-59
"2018-03-16 16:50:02.191","EC:8F:47:27:6C:DE",-59
"2018-03-16 16:50:02.203","C8:2F:80:DA:26:94",-57
"2018-03-16 16:50:02.235","C8:2F:80:DA:26:94",-57
"2018-03-16 16:50:02.445","E8:FA:0D:3C:01:82",-62
"2018-03-16 16:50:02.485","E8:FA:0D:3C:01:82",-63
"2018-03-16 16:50:02.487","0B:08:73:E6:B1:67",-55
"2018-03-16 16:50:02.489","C2:57:36:E6:71:6E",-65
"2018-03-16 16:50:02.510","C2:57:36:E6:71:6E",-64
"2018-03-16 16:50:02.513","E9:0D:4A:6D:31:59",-60
"2018-03-16 16:50:02.766","E5:3B:3A:53:DF:6C",-58
"2018-03-16 16:50:02.768","E5:3B:3A:53:DF:6C",-58
"2018-03-16 16:50:02.770","F1:4E:55:EA:ED:A4",-61
"2018-03-16 16:50:02.772","F1:4E:55:EA:ED:A4",-61
"2018-03-16 16:50:02.791","D9:86:6F:AF:E8:90",-58
"2018-03-16 16:50:02.797","C1:96:24:5B:EB:97",-60
"2018-03-16 16:50:02.805","C1:96:24:5B:EB:97",-60
"2018-03-16 16:50:02.807","3C:15:C2:C7:F7:27",-102
"2018-03-16 16:50:02.812","C8:2F:80:DA:26:94",-62
"2018-03-16 16:50:02.815","C8:2F:80:DA:26:94",-62
"2018-03-16 16:50:02.818","5F:17:B5:B3:51:A4",-103
"2018-03-16 16:50:02.832","6A:8D:B7:88:D6:A0",-83
"2018-03-16 16:50:02.834","6A:8D:B7:88:D6:A0",-83
"2018-03-16 16:50:02.834","78:4F:43:78:44:5D",-103
"2018-03-16 16:50:03.045","FD:99:D9:69:5D:BC",-58
"2018-03-16 16:50:03.067","FD:99:D9:69:5D:BC",-58
"2018-03-16 16:50:03.067","EC:8F:47:27:6C:DE",-59
"2018-03-16 16:50:03.069","EC:8F:47:27:6C:DE",-59
"2018-03-16 16:50:03.073","DC:94:C8:A9:D0:B6",-60
"2018-03-16 16:50:03.075","DC:94:C8:A9:D0:B6",-60
"2018-03-16 16:50:03.077","E8:FA:0D:3C:01:82",-60
"2018-03-16 16:50:03.081","E8:FA:0D:3C:01:82",-60
"2018-03-16 16:50:03.083","4C:7F:F4:3A:E6:B1",-103
"2018-03-16 16:50:03.097","C2:57:36:E6:71:6E",-61
"2018-03-16 16:50:03.101","C2:57:36:E6:71:6E",-61
"2018-03-16 16:50:03.103","6A:8D:B7:88:D6:A0",-82
"2018-03-16 16:50:03.107","6A:8D:B7:88:D6:A0",-83
"2018-03-16 16:50:03.120","CB:3C:59:5F:87:FB",-55
"2018-03-16 16:50:03.372","C2:57:36:E6:71:6E",-65
"2018-03-16 16:50:03.376","C2:57:36:E6:71:6E",-65
"2018-03-16 16:50:03.377","E5:3B:3A:53:DF:6C",-60
"2018-03-16 16:50:03.377","E5:3B:3A:53:DF:6C",-60
"2018-03-16 16:50:03.377","6A:8D:B7:88:D6:A0",-80
"2018-03-16 16:50:03.378","6A:8D:B7:88:D6:A0",-80
"2018-03-16 16:50:03.382","F1:4E:55:EA:ED:A4",-64
"2018-03-16 16:50:03.384","F1:4E:55:EA:ED:A4",-64
"2018-03-16 16:50:03.387","78:4F:43:78:44:5D",-103
"2018-03-16 16:50:03.405","E9:0D:4A:6D:31:59",-60
"2018-03-16 16:50:03.411","E9:0D:4A:6D:31:59",-60
"2018-03-16 16:50:03.412","D9:86:6F:AF:E8:90",-59
"2018-03-16 16:50:03.413","D9:86:6F:AF:E8:90",-58
"2018-03-16 16:50:03.416","C1:96:24:5B:EB:97",-63
"2018-03-16 16:50:03.419","C1:96:24:5B:EB:97",-63
"2018-03-16 16:50:03.427","0B:08:73:E6:B1:67",-57
"2018-03-16 16:50:03.433","C8:2F:80:DA:26:94",-68
"2018-03-16 16:50:03.434","C8:2F:80:DA:26:94",-68
"2018-03-16 16:50:03.644","6A:8D:B7:88:D6:A0",-82
"2018-03-16 16:50:03.645","6A:8D:B7:88:D6:A0",-82
"2018-03-16 16:50:03.646","0B:08:73:E6:B1:67",-62
"2018-03-16 16:50:03.669","FD:99:D9:69:5D:BC",-62
"2018-03-16 16:50:03.671","FD:99:D9:69:5D:BC",-62
"2018-03-16 16:50:03.674","EC:8F:47:27:6C:DE",-60
"2018-03-16 16:50:03.676","EC:8F:47:27:6C:DE",-61
"2018-03-16 16:50:03.681","DC:94:C8:A9:D0:B6",-62
"2018-03-16 16:50:03.682","DC:94:C8:A9:D0:B6",-62
"2018-03-16 16:50:03.684","E8:FA:0D:3C:01:82",-60
"2018-03-16 16:50:03.687","E8:FA:0D:3C:01:82",-61
"2018-03-16 16:50:03.699","7F:4B:65:4E:9A:05",-96
"2018-03-16 16:50:03.721","E8:FA:0D:3C:01:82",-60
"2018-03-16 16:50:03.734","E8:FA:0D:3C:01:82",-61
"2018-03-16 16:50:03.943","CB:3C:59:5F:87:FB",-56
"2018-03-16 16:50:03.962","CB:3C:59:5F:87:FB",-56
"2018-03-16 16:50:03.964","0B:08:73:E6:B1:67",-63
"2018-03-16 16:50:03.982","C2:57:36:E6:71:6E",-62
"2018-03-16 16:50:03.985","C2:57:36:E6:71:6E",-62
"2018-03-16 16:50:03.989","E5:3B:3A:53:DF:6C",-57
"2018-03-16 16:50:03.991","E5:3B:3A:53:DF:6C",-57
"2018-03-16 16:50:03.993","4C:7F:F4:3A:E6:B1",-103
"2018-03-16 16:50:03.997","F1:4E:55:EA:ED:A4",-61
"2018-03-16 16:50:04.026","F1:4E:55:EA:ED:A4",-60
"2018-03-16 16:50:04.028","E9:0D:4A:6D:31:59",-58
"2018-03-16 16:50:04.032","E9:0D:4A:6D:31:59",-58
"2018-03-16 16:50:04.033","C1:96:24:5B:EB:97",-55
"2018-03-16 16:50:04.244","C8:2F:80:DA:26:94",-68
"2018-03-16 16:50:04.270","C8:2F:80:DA:26:94",-68
"2018-03-16 16:50:04.273","0B:08:73:E6:B1:67",-55
"2018-03-16 16:50:04.280","EC:8F:47:27:6C:DE",-61
"2018-03-16 16:50:04.288","EC:8F:47:27:6C:DE",-61
"2018-03-16 16:50:04.291","DC:94:C8:A9:D0:B6",-72
"2018-03-16 16:50:04.293","DC:94:C8:A9:D0:B6",-72
"2018-03-16 16:50:04.295","FD:99:D9:69:5D:BC",-61
"2018-03-16 16:50:04.297","FD:99:D9:69:5D:BC",-61
"2018-03-16 16:50:04.333","E8:FA:0D:3C:01:82",-62
"2018-03-16 16:50:04.334","E8:FA:0D:3C:01:82",-62
"2018-03-16 16:50:04.543","E8:FA:0D:3C:01:82",-60
"2018-03-16 16:50:04.572","E8:FA:0D:3C:01:82",-60
"2018-03-16 16:50:04.574","CB:3C:59:5F:87:FB",-56
"2018-03-16 16:50:04.576","CB:3C:59:5F:87:FB",-56
"2018-03-16 16:50:04.589","0B:08:73:E6:B1:67",-63
"2018-03-16 16:50:04.601","E5:3B:3A:53:DF:6C",-58
"2018-03-16 16:50:04.617","E5:3B:3A:53:DF:6C",-58
"2018-03-16 16:50:04.619","F1:4E:55:EA:ED:A4",-61
"2018-03-16 16:50:04.621","F1:4E:55:EA:ED:A4",-61
"2018-03-16 16:50:04.632","E9:0D:4A:6D:31:59",-57
"2018-03-16 16:50:04.634","E9:0D:4A:6D:31:59",-57
"2018-03-16 16:50:04.844","E9:0D:4A:6D:31:59",-58
"2018-03-16 16:50:04.846","E9:0D:4A:6D:31:59",-58
"2018-03-16 16:50:04.850","61:B8:47:F5:59:8C",-102
"2018-03-16 16:50:04.857","C1:96:24:5B:EB:97",-55
"2018-03-16 16:50:04.869","C1:96:24:5B:EB:97",-55
"2018-03-16 16:50:04.872","C8:2F:80:DA:26:94",-57
"2018-03-16 16:50:04.873","C8:2F:80:DA:26:94",-57
"2018-03-16 16:50:04.899","4C:7F:F4:3A:E6:B1",-102
"2018-03-16 16:50:04.901","FD:99:D9:69:5D:BC",-58
"2018-03-16 16:50:04.909","D9:86:6F:AF:E8:90",-59
"2018-03-16 16:50:04.910","D9:86:6F:AF:E8:90",-59
"2018-03-16 16:50:04.911","DC:94:C8:A9:D0:B6",-60
"2018-03-16 16:50:04.913","DC:94:C8:A9:D0:B6",-60
"2018-03-16 16:50:04.915","0B:08:73:E6:B1:67",-65
"2018-03-16 16:50:05.169","E8:FA:0D:3C:01:82",-62
"2018-03-16 16:50:05.185","E8:FA:0D:3C:01:82",-62
"2018-03-16 16:50:05.186","CB:3C:59:5F:87:FB",-58
"2018-03-16 16:50:05.189","CB:3C:59:5F:87:FB",-58
